1,1,MTD1,0.677,individual / (1 individual * 24 hour),NA,NA,11,celsius,inferred (ambient),field collected (at test temperature),NA
2,1,MTD1,1.3794,individual / (1 individual * 24 hour),NA,NA,17,celsius,inferred (ambient),field collected (at test temperature),NA
3,1,MTD1,2.8033,individual / (1 individual * 24 hour),NA,NA,22,celsius,inferred (ambient),field collected (at test temperature),NA
4,2,MTD2,3.5298,individual / (1 individual * 24 hour),NA,NA,7,celsius,inferred (ambient),field collected (at test temperature),NA
5,2,MTD2,1.7042,individual / (1 individual * 24 hour),NA,NA,13,celsius,inferred (ambient),field collected (at test temperature),NA
6,3,MTD3,7.9289,individual / (1 individual * 24 hour),NA,NA,7,celsius,inferred (ambient),field collected (at test temperature),NA
7,3,MTD3,13.0342,individual / (1 individual * 24 hour),NA,NA,13,celsius,inferred (ambient),field collected (at test temperature),NA
8,3,MTD3,17.9917,individual / (1 individual * 24 hour),NA,NA,19,celsius,inferred (ambient),field collected (at test temperature),NA
9,4,MTD4,1.2753,microgram (body mass - dry) / (1 individual * 1 minute),NA,NA,15,celsius,inferred (ambient),captive bred (at acclimation temperature),18.5
10,4,MTD4,1.3473,microgram (body mass - dry) / (1 individual * 1 minute),NA,NA,18.5,celsius,inferred (ambient),captive bred (at acclimation temperature),18.5
11,4,MTD4,2.0405,microgram (body mass - dry) / (1 individual * 1 minute),NA,NA,22,celsius,inferred (ambient),captive bred (at acclimation temperature),18.5
12,5,MTD5,1.2795,milligram (body mass - wet) / (1 individual * 24 hour),NA,NA,23,celsius,inferred (ambient),captive bred,NA
13,5,MTD5,1.369,milligram (body mass - wet) / (1 individual * 24 hour),NA,NA,23,celsius,inferred (ambient),captive bred,NA
14,5,MTD5,1.5,milligram (body mass - wet) / (1 individual * 24 hour),NA,NA,23,celsius,inferred (ambient),captive bred,NA
15,5,MTD5,1.6631,milligram (body mass - wet) / (1 individual * 24 hour),NA,NA,23,celsius,inferred (ambient),captive bred,NA
16,5,MTD5,1.893,milligram (body mass - wet) / (1 individual * 24 hour),NA,NA,23,celsius,inferred (ambient),captive bred,NA
