EZE00100082,18030101,TMAX,32,,,E,
EZE00100082,18030101,TMIN,16,,,E,
GM000010962,18030101,PRCP,0,,,E,
ITE00100554,18030101,TMAX,38,,,E,
ITE00100554,18030101,TMIN,31,,,E,
EZE00100082,18030102,TMAX,41,,,E,
EZE00100082,18030102,TMIN,21,,,E,
GM000010962,18030102,PRCP,0,,,E,
ITE00100554,18030102,TMAX,50,,,E,
ITE00100554,18030102,TMIN,44,,,E,
EZE00100082,18030103,TMAX,31,,,E,
EZE00100082,18030103,TMIN,21,,,E,
GM000010962,18030103,PRCP,0,,,E,
ITE00100554,18030103,TMAX,69,,,E,
ITE00100554,18030103,TMIN,56,,,E,
EZE00100082,18030104,TMAX,28,,,E,
EZE00100082,18030104,TMIN,19,,,E,
GM000010962,18030104,PRCP,0,,,E,
ITE00100554,18030104,TMAX,85,,,E,
ITE00100554,18030104,TMIN,73,,,E,
EZE00100082,18030105,TMAX,36,,,E,
EZE00100082,18030105,TMIN,11,,,E,
GM000010962,18030105,PRCP,0,,,E,
ITE00100554,18030105,TMAX,91,,,E,
ITE00100554,18030105,TMIN,73,,,E,
EZE00100082,18030106,TMAX,11,,,E,
EZE00100082,18030106,TMIN,-27,,,E,
GM000010962,18030106,PRCP,58,,,E,
ITE00100554,18030106,TMAX,63,,,E,
ITE00100554,18030106,TMIN,35,,,E,
EZE00100082,18030107,TMAX,-3,,,E,
EZE00100082,18030107,TMIN,-26,,,E,
GM000010962,18030107,PRCP,0,,,E,
ITE00100554,18030107,TMAX,38,,,E,
ITE00100554,18030107,TMIN,21,,,E,
EZE00100082,18030108,TMAX,-10,,,E,
EZE00100082,18030108,TMIN,-26,,,E,
GM000010962,18030108,PRCP,0,,,E,
ITE00100554,18030108,TMAX,69,,,E,
ITE00100554,18030108,TMIN,41,,,E,
EZE00100082,18030109,TMAX,-20,,,E,
EZE00100082,18030109,TMIN,-30,,,E,
GM000010962,18030109,PRCP,0,,,E,
ITE00100554,18030109,TMAX,56,,I,E,
ITE00100554,18030109,TMIN,54,,,E,
EZE00100082,18030110,TMAX,-8,,,E,
EZE00100082,18030110,TMIN,-82,,,E,
GM000010962,18030110,PRCP,0,,,E,
ITE00100554,18030110,TMAX,94,,,E,
ITE00100554,18030110,TMIN,73,,I,E,
EZE00100082,18030111,TMAX,-80,,,E,
EZE00100082,18030111,TMIN,-124,,,E,
GM000010962,18030111,PRCP,0,,,E,
ITE00100554,18030111,TMAX,79,,,E,
ITE00100554,18030111,TMIN,63,,,E,
EZE00100082,18030112,TMAX,-90,,,E,
EZE00100082,18030112,TMIN,-144,,,E,
GM000010962,18030112,PRCP,21,,,E,
ITE00100554,18030112,TMAX,56,,,E,
ITE00100554,18030112,TMIN,50,,,E,
EZE00100082,18030113,TMAX,-81,,,E,
EZE00100082,18030113,TMIN,-136,,,E,
GM000010962,18030113,PRCP,10,,,E,
ITE00100554,18030113,TMAX,63,,,E,
