EZE00100082,18010101,TMAX,11,,,E,
EZE00100082,18010101,TMIN,-48,,,E,
GM000010962,18010101,PRCP,4,,,E,
ITE00100554,18010101,TMAX,84,,,E,
ITE00100554,18010101,TMIN,50,,,E,
EZE00100082,18010102,TMAX,40,,,E,
EZE00100082,18010102,TMIN,-43,,,E,
GM000010962,18010102,PRCP,0,,,E,
ITE00100554,18010102,TMAX,50,,,E,
ITE00100554,18010102,TMIN,13,,,E,
EZE00100082,18010103,TMAX,46,,,E,
EZE00100082,18010103,TMIN,21,,,E,
GM000010962,18010103,PRCP,0,,,E,
ITE00100554,18010103,TMAX,44,,,E,
ITE00100554,18010103,TMIN,0,,,E,
EZE00100082,18010104,TMAX,30,,,E,
EZE00100082,18010104,TMIN,11,,,E,
GM000010962,18010104,PRCP,0,,,E,
ITE00100554,18010104,TMAX,44,,,E,
ITE00100554,18010104,TMIN,13,,,E,
EZE00100082,18010105,TMAX,68,,,E,
EZE00100082,18010105,TMIN,26,,,E,
GM000010962,18010105,PRCP,0,,,E,
ITE00100554,18010105,TMAX,50,,,E,
ITE00100554,18010105,TMIN,13,,,E,
EZE00100082,18010106,TMAX,95,,,E,
EZE00100082,18010106,TMIN,38,,,E,
GM000010962,18010106,PRCP,0,,,E,
ITE00100554,18010106,TMAX,35,,,E,
ITE00100554,18010106,TMIN,25,,,E,
EZE00100082,18010107,TMAX,50,,,E,
EZE00100082,18010107,TMIN,4,,,E,
GM000010962,18010107,PRCP,0,,,E,
ITE00100554,18010107,TMAX,16,,,E,
ITE00100554,18010107,TMIN,13,,,E,
EZE00100082,18010108,TMAX,4,,,E,
EZE00100082,18010108,TMIN,-11,,,E,
GM000010962,18010108,PRCP,0,,,E,
ITE00100554,18010108,TMAX,16,,,E,
ITE00100554,18010108,TMIN,0,,,E,
EZE00100082,18010109,TMAX,-10,,,E,
EZE00100082,18010109,TMIN,-17,,,E,
GM000010962,18010109,PRCP,0,,,E,
ITE00100554,18010109,TMAX,29,,,E,
ITE00100554,18010109,TMIN,13,,,E,
EZE00100082,18010110,TMAX,-14,,,E,
EZE00100082,18010110,TMIN,-25,,,E,
GM000010962,18010110,PRCP,0,,,E,
ITE00100554,18010110,TMAX,50,,,E,
ITE00100554,18010110,TMIN,16,,,E,
EZE00100082,18010111,TMAX,2,,,E,
EZE00100082,18010111,TMIN,-24,,,E,
GM000010962,18010111,PRCP,0,,,E,
ITE00100554,18010111,TMAX,40,,,E,
ITE00100554,18010111,TMIN,4,,,E,
